state,action_0,action_1,action_2,action_3
1658,-2.04,-0.36415080307695824,-2.229696899637681,-2.0
1659,-1.8300000000000005,-1.9148273666536308,0.25539957210405184,-2.295821794271752
1660,-2.4062454250791383,-1.572242262158908,-0.4443582529156394,-2.251359457203427
1661,-1.7611811220576254,-1.0090724947532854,-0.923559221104874,-1.2000000000000002
1662,-1.319,-1.3051226362632513,-1.056941099285784,-1.4000000000000001
1663,-0.71,-0.71,0.8453185095017153,0.0
1664,-0.71,-1.8308716,4.1705246652865755,-0.41501170101378887
1665,-0.81,-1.5290000000000001,2.5563735342410596,0.0
1666,-1.5390000000000001,-1.4979,6.665045318131383,-1.2179377316786688
1667,-0.81,-0.81,6.929419310512399,0.0
1668,-2.1154859909165125,15.164387432544196,-2.46,-2.4000000000000004
1669,-1.2200000000000002,11.491585990615532,-1.0,-1.2000000000000002
1670,-1.8300000000000005,2.0144147233390854,-2.3754187884109426,-1.8000000000000003
1671,-2.1068437720020503,3.3552113134938013,-1.5083000000000002,-1.4000000000000001
1672,-1.42,1.9411630725628832,-0.7520000000000002,-1.4000000000000001
1673,-1.951745729461115,2.829230024362173,-1.2147162880618014,-2.605777829196713
1674,-1.62,-1.3525326220724667,-1.7428909992608423,-2.3225100000000003
1675,-1.62,-1.3423875961107812,-0.2985852338184032,-1.5305434208000002
1676,-0.5924215642675632,0.0,4.46491032420583,-0.39531864703430286
1677,-1.8200000000000003,-1.729,-1.0627451114897624,-1.8000000000000003
1678,-1.3937123884567741,-0.91,5.5174360613085405,-1.426692538465582
1679,-0.9894959642185208,-0.91,8.759148899213422,0.0
1680,-2.7777000000000003,2.7572694181248005,-2.680000000000001,-2.8000000000000007
1681,-2.4600000000000004,3.1324958866651906,-2.661911364877016,-2.362590000000001
1682,-3.356253837340505,4.546265363653487,-3.0311538373405056,-3.0430102733144064
1683,-1.02,-1.014714156432,3.727542778624926,-1.0
1684,-1.9593247488381684,-1.3770871822193245,-0.19211592600462601,-1.5
1685,-1.3684098239593663,-0.51,0.8906685655961728,-0.49639608
