state,action_0,action_1,action_2,action_3
261,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0
263,0.0,0.0,0.0,0.0
264,-0.41,0.0,0.0,0.0
265,-0.41,0.0,0.0,-0.4
266,0.0,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0
272,0.0,0.0,0.0,0.0
273,0.0,0.0,0.0,0.0
274,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0
276,0.0,0.0,0.0,0.0
277,0.0,0.0,0.0,0.0
278,0.0,0.0,0.0,0.0
279,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0
281,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0
283,0.0,0.0,0.0,0.0
284,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0
287,0.0,0.0,0.0,0.0
288,-0.31000000000000005,-0.5890000000000002,5.386475372455464,0.0
289,-0.31000000000000005,0.0,0.0,-0.30000000000000004
290,0.0,0.0,0.0,0.0
291,-0.41,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0
296,-0.51,-0.51,0.31,0.0
297,0.0,0.0,0.0,0.0
298,-0.61,0.0,0.0,0.0
299,-0.61,-0.61,0.20999999999999996,0.0
300,-0.41,0.0,0.0,0.0
301,-0.41,0.0,0.0,0.0
302,0.0,0.0,0.0,0.0
303,0.0,0.0,0.0,0.0
304,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,0.0
306,0.0,0.0,0.0,0.0
307,0.0,0.0,0.0,0.0
308,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0
313,-0.51,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0
316,0.0,0.0,0.0,0.0
317,0.0,0.0,0.0,0.0
318,0.0,0.0,0.0,0.0
319,0.0,0.0,0.0,0.0
320,0.0,0.0,0.0,0.0
321,0.0,0.0,0.0,0.0
322,0.0,0.0,0.0,0.0
323,0.0,0.0,0.0,0.0
324,-0.61,0.0,0.0,0.0
325,-0.61,0.0,0.0,0.0
326,0.0,0.0,0.0,0.0
327,0.0,0.0,0.0,0.0
328,0.0,0.0,0.0,0.0
329,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
331,0.0,0.0,0.0,0.0
332,0.0,0.0,0.0,0.0
333,0.0,0.0,0.0,0.0
334,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0
336,-0.41,-0.5104706971949563,4.107526265444285,0.0
337,-0.41,0.0,0.0,0.0
338,-0.41,-0.41,0.45,0.0
339,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0
341,-0.51,0.0,0.0,0.0
342,-0.61,-0.61,0.30000000000000004,0.0
343,-0.61,0.0,0.0,0.0
344,-0.61,-0.61,0.30000000000000004,0.0
345,0.0,0.0,0.0,0.0
346,0.0,0.0,0.0,0.0
347,0.0,0.0,0.0,0.0
348,-0.51,0.0,0.0,0.0
349,0.0,0.0,0.0,0.0
350,0.0,0.0,0.0,0.0
351,0.0,0.0,0.0,0.0
352,0.0,0.0,0.0,0.0
353,0.0,0.0,0.0,0.0
354,0.0,0.0,0.0,0.0
355,0.0,0.0,0.0,0.0
356,0.0,0.0,0.0,0.0
357,0.0,0.0,0.0,0.0
358,0.0,0.0,0.0,0.0
359,0.0,0.0,0.0,0.0
360,-0.61,0.0,0.0,0.0
361,-0.61,0.0,0.0,0.0
362,0.0,0.0,0.0,0.0
363,0.0,0.0,0.0,0.0
364,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0
366,0.0,0.0,0.0,0.0
367,0.0,0.0,0.0,0.0
368,0.0,0.0,0.0,0.0
369,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0
372,-0.71,0.0,0.0,0.0
373,-0.71,0.0,0.0,0.0
374,0.0,0.0,0.0,0.0
375,0.0,0.0,0.0,0.0
376,0.0,0.0,0.0,0.0
377,0.0,0.0,0.0,0.0
378,0.0,0.0,0.0,0.0
379,0.0,0.0,0.0,0.0
380,0.0,0.0,0.0,0.0
381,0.0,0.0,0.0,0.0
382,0.0,0.0,0.0,0.0
383,0.0,0.0,0.0,0.0
384,-0.15953700000000004,-0.11000000000000001,0.0,7.7123207545039
385,0.6931358900000002,-0.11000000000000001,0.0,0.0
386,-0.5758518765166256,-0.8961677792262975,0.0,-0.40951000000000004
387,-0.21000000000000002,-0.21000000000000002,-0.1,1.634
388,-0.30900000000000005,0.0,0.0,0.0
389,-0.21000000000000002,0.0,0.0,0.0
390,-0.31000000000000005,-0.31000000000000005,-0.2,1.52
391,-0.5834999000000002,-0.6200000000000001,-0.6000000000000001,-0.6000000000000001
392,-0.8981000000000003,-0.9280000000000002,-0.9800000000000002,-0.9000000000000001
393,-0.41,-0.41,-0.30000000000000004,2.3273
394,-0.7789999999999999,-0.41,-0.6000000000000001,-0.8
395,-2.698976752,-2.4269999999999996,-2.3854800000000007,-2.4000000000000004
396,0.0,0.0,0.0,0.9
397,-0.38781615000000014,-0.42000000000000004,-0.39100000000000007,-0.4
398,-0.5691,-0.42000000000000004,-0.4000000000000001,-0.4
399,0.0,0.0,0.0,0.769
400,-0.5890000000000002,-0.31000000000000005,-0.4,-0.6000000000000001
401,0.0,0.0,0.0,0.0
402,0.0,0.0,0.0,0.0
403,-0.7789999999999999,-0.41,-0.6000000000000001,-0.8
404,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,0.0
406,-0.51,0.0,0.0,0.0
407,-1.7616800000000001,-2.004,-1.5700000000000003,-1.5
408,-0.31000000000000005,-0.31000000000000005,-0.30310000000000004,1.4611
409,-0.75394511098,-0.9300000000000002,-0.8000000000000002,-0.9000000000000001
410,-0.5890000000000002,-0.31000000000000005,-0.4,-0.6000000000000001
411,-0.41,-0.41,-0.30000000000000004,1.3000000000000003
412,-1.0880999999999998,-0.8200000000000001,-0.9000000000000001,-0.8
413,0.0,0.0,0.0,0.0
414,-0.51,-0.51,-0.4,0.6000000000000001
415,-0.9690000000000001,-0.51,-1.171,-1.0
416,-0.9690000000000001,-0.51,-0.8,-1.0
417,0.0,0.0,0.0,0.0
418,0.0,0.0,0.0,0.0
419,0.0,0.0,0.0,0.0
420,-0.41,-0.41,-0.30000000000000004,0.5582483925
421,-1.0701,-0.8200000000000001,-0.9000000000000001,-0.8
422,0.0,0.0,0.0,0.0
423,0.0,0.0,0.0,0.6000000000000001
424,-2.6854241290000003,-2.55,-2.7212100000000006,-3.0
425,0.0,0.0,0.0,0.0
426,-0.61,-0.61,-0.5,0.95
427,0.0,0.0,0.0,0.0
428,-1.6531000000000002,-1.2200000000000002,-1.5,-1.2000000000000002
429,0.0,0.0,0.0,0.0
430,-0.71,0.0,0.0,-0.7000000000000001
431,-1.349,-0.71,-1.7500000000000004,-1.4000000000000001
432,-0.21000000000000002,-0.21000000000000002,8.148247735432342,0.0
433,-0.21000000000000002,0.0,0.0,0.0
434,-0.21000000000000002,-0.21000000000000002,0.31227768583088,0.0
435,-0.31000000000000005,-0.31000000000000005,0.0,0.0
436,-0.31000000000000005,0.0,0.0,0.0
437,-0.31000000000000005,-0.31000000000000005,0.17,0.0
438,-0.41,-0.41,0.34700000000000003,0.0
439,-0.41,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0
441,0.0,0.0,0.0,0.0
442,-0.51,0.0,0.0,0.0
443,0.0,0.0,0.0,0.0
444,-0.31000000000000005,0.0,0.0,0.0
445,-0.31000000000000005,0.0,0.0,0.0
446,0.0,0.0,0.0,0.0
447,0.0,0.0,0.0,0.0
448,0.0,0.0,0.0,0.0
449,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0
451,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0
453,0.0,0.0,0.0,0.0
454,0.0,0.0,0.0,0.0
455,0.0,0.0,0.0,0.0
456,-0.41,0.0,0.0,0.0
457,0.0,0.0,0.0,0.0
458,0.0,0.0,0.0,0.0
459,0.0,0.0,0.0,0.0
460,0.0,0.0,0.0,0.0
461,0.0,0.0,0.0,0.0
462,0.0,0.0,0.0,0.0
463,0.0,0.0,0.0,0.0
464,0.0,0.0,0.0,0.0
465,0.0,0.0,0.0,0.0
466,0.0,0.0,0.0,0.0
467,0.0,0.0,0.0,0.0
468,-0.51,0.0,0.0,0.0
469,-0.51,0.0,0.0,0.0
470,0.0,0.0,0.0,0.0
471,0.0,0.0,0.0,0.0
472,0.0,0.0,0.0,0.0
473,0.0,0.0,0.0,0.0
474,0.0,0.0,0.0,0.0
475,0.0,0.0,0.0,0.0
476,0.0,0.0,0.0,0.0
477,0.0,0.0,0.0,0.0
478,0.0,0.0,0.0,0.0
479,0.0,0.0,0.0,0.0
480,-0.31000000000000005,-0.31000000000000005,4.012339377578536,0.0
481,-0.31000000000000005,0.0,0.0,0.0
482,0.0,0.0,0.0,0.0
483,-0.41,-0.41,0.22999999999999998,0.0
484,0.0,0.0,0.0,0.0
485,0.0,0.0,0.0,0.0
486,-0.51,0.0,0.0,0.0
487,-0.51,0.0,0.0,0.0
488,0.0,0.0,0.0,0.0
489,-0.61,-0.61,-0.1,0.0
490,-0.61,0.0,0.0,0.0
491,-0.61,-0.61,-0.1,0.0
492,0.0,0.0,0.0,0.0
493,-0.41,0.0,0.0,-0.4
494,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,0.0
496,0.0,0.0,0.0,0.0
497,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0
499,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
501,0.0,0.0,0.0,0.0
502,0.0,0.0,0.0,0.0
503,0.0,0.0,0.0,0.0
504,-0.51,0.0,0.0,0.0
505,-0.51,0.0,0.0,0.0
506,0.0,0.0,0.0,0.0
507,0.0,0.0,0.0,0.0
508,0.0,0.0,0.0,0.0
509,0.0,0.0,0.0,0.0
510,0.0,0.0,0.0,0.0
511,0.0,0.0,0.0,0.0
512,0.0,0.0,0.0,0.0
513,0.0,0.0,0.0,0.0
514,0.0,0.0,0.0,0.0
515,0.0,0.0,0.0,0.0
516,-0.61,0.0,0.0,0.0
517,0.0,0.0,0.0,0.0
518,0.0,0.0,0.0,0.0
519,0.0,0.0,0.0,0.0
520,0.0,0.0,0.0,0.0
521,0.0,0.0,0.0,0.0
522,0.0,0.0,0.0,0.0
523,0.0,0.0,0.0,0.0
524,0.0,0.0,0.0,0.0
525,0.0,0.0,0.0,0.0
526,0.0,0.0,0.0,0.0
527,0.0,0.0,0.0,0.0
528,-0.41,0.0,0.0,7.793530407122457
529,-0.41,0.0,0.0,0.0
530,-0.41,0.0,0.1,0.0
531,0.0,0.0,0.0,0.0
532,-0.51,0.0,0.0,0.0
533,-0.51,0.0,0.0,0.0
534,-0.61,-0.61,0.010000000000000009,0.0
535,0.0,0.0,0.0,0.0
536,-0.61,-0.61,-0.29000000000000004,-0.6000000000000001
537,-0.71,-0.71,-0.010000000000000009,0.0
538,0.0,0.0,0.0,0.0
539,0.0,0.0,0.0,0.0
540,-0.51,0.0,0.0,0.0
541,0.0,0.0,0.0,0.0
542,0.0,0.0,0.0,0.0
543,0.0,0.0,0.0,0.0
544,0.0,0.0,0.0,0.0
545,0.0,0.0,0.0,0.0
546,0.0,0.0,0.0,0.0
547,0.0,0.0,0.0,0.0
548,0.0,0.0,0.0,0.0
549,0.0,0.0,0.0,0.0
550,0.0,0.0,0.0,0.0
551,0.0,0.0,0.0,0.0
552,0.0,0.0,-0.1,0.0
553,0.0,0.0,0.0,0.0
554,0.0,0.0,0.0,0.0
555,0.0,0.0,0.0,0.0
556,0.0,0.0,0.0,0.0
557,0.0,0.0,0.0,0.0
558,0.0,0.0,0.0,0.0
559,0.0,0.0,0.0,0.0
560,0.0,0.0,0.0,0.0
561,0.0,0.0,0.0,0.0
562,0.0,0.0,0.0,0.0
563,0.0,0.0,0.0,0.0
564,0.0,0.0,0.0,0.0
565,0.0,0.0,0.0,0.0
566,0.0,0.0,0.0,0.0
567,0.0,0.0,0.0,0.0
568,0.0,0.0,0.0,0.0
